file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track4\Track4.unique.ovl,tks,27,"Medcurve; Medcurvecapped; Medslope2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track5\Track5.common.ovl,tks,340,"LooseCorkscrewLeft; 45invmedslope2straightchain; 45invstraight2medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track5\Track5.unique.ovl,tks,340,"LooseCorkscrewLeft; 45invmedslope2straightchain; 45invstraight2medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track59\Track59.common.ovl,tks,145,"Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track59\Track59.unique.ovl,tks,145,"Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track6\Track6.common.ovl,tks,105,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track6\Track6.unique.ovl,tks,105,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track60\Track60.common.ovl,tks,45,"Invmedslope; InvVertical2SteepSlope; InvMedslope2Vertical"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track60\Track60.unique.ovl,tks,45,"Invmedslope; InvVertical2SteepSlope; InvMedslope2Vertical"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track7\Track7.common.ovl,tks,19,"Inlinetwistleft; Inlinetwistright; Lowertransfer"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track7\Track7.unique.ovl,tks,19,"Inlinetwistleft; Inlinetwistright; Lowertransfer"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track8\Track8.common.ovl,tks,70,"Barrelrollleft; Barrelrollright; Invmedcurve"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track8\Track8.unique.ovl,tks,70,"Barrelrollleft; Barrelrollright; Invmedcurve"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track9\Track9_CT.common.ovl,tks,31,"45medslopeZeroGRollRight; 45Straight2TiltRight; 45Steepslope2Vertical"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track9\Track9_CT.unique.ovl,tks,31,"45medslopeZeroGRollRight; 45Straight2TiltRight; 45Steepslope2Vertical"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track9\Track9.common.ovl,tks,35,"Invmedslope2steepslope; Invmedslope2straight; Invmedslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track9\Track9.unique.ovl,tks,35,"Invmedslope2steepslope; Invmedslope2straight; Invmedslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased01\TrackBased01.common.ovl,tks,25,"45medslope2straight; 45medslope2straightchain; 45medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased01\TrackBased01.unique.ovl,tks,25,"45medslope2straight; 45medslope2straightchain; 45medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased02\TrackBased02.common.ovl,tks,12,"Logbumps; Medcurve; Medslope2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased02\TrackBased02.unique.ovl,tks,12,"Logbumps; Medcurve; Medslope2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased03\TrackBased03.common.ovl,tks,9,"Medcurve; Medslope2straight; Medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased03\TrackBased03.unique.ovl,tks,9,"Medcurve; Medslope2straight; Medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased04\TrackBased04.common.ovl,tks,8,"Medcurve; Medslope2straight; Medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased04\TrackBased04.unique.ovl,tks,8,"Medcurve; Medslope2straight; Medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased05\TrackBased05.common.ovl,tks,17,"Medcurve; medcurvecapped; Medslope2straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased05\TrackBased05.unique.ovl,tks,17,"Medcurve; medcurvecapped; Medslope2straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased06\TrackBased06.common.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased06\TrackBased06.unique.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased07\TrackBased07.common.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased07\TrackBased07.unique.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased08\TrackBased08.common.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased08\TrackBased08.unique.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased09\TrackBased09.common.ovl,tks,7,"Medslope2straight; Straight2medslope; Straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased09\TrackBased09.unique.ovl,tks,7,"Medslope2straight; Straight2medslope; Straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased10\TrackBased10.common.ovl,tks,39,"45steepslopedown; LogReverser; Medslopedown"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased10\TrackBased10.unique.ovl,tks,39,"45steepslopedown; LogReverser; Medslopedown"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased11\TrackBased11.common.ovl,tks,18,"Medcurve; MedcurveRight; Medslope2straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased11\TrackBased11.unique.ovl,tks,18,"Medcurve; MedcurveRight; Medslope2straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased12\TrackBased12.common.ovl,tks,38,"45Loosecurveleft; 45Loosecurveright; 45medslope2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased12\TrackBased12.unique.ovl,tks,38,"45Loosecurveleft; 45Loosecurveright; 45medslope2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased13\TrackBased13.common.ovl,tks,3,"Stationmiddle; Straight; Tightcurve"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased13\TrackBased13.unique.ovl,tks,3,"Stationmiddle; Straight; Tightcurve"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased14\TrackBased14.common.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
