file,shs_entries,sample_symbols,crash
Path\Leafy\LeafyTurnTC.common.ovl,3,LeafyTurnTCHi|LeafyTurnTCLow|LeafyTurnTCMed,
Path\Leafy\LeafyTurnTC.unique.ovl,3,LeafyTurnTCHi|LeafyTurnTCLow|LeafyTurnTCMed,
Path\Leafy\LeafyTurnU.common.ovl,3,LeafyTurnUHi|LeafyTurnULow|LeafyTurnUMed,
Path\Leafy\LeafyTurnU.unique.ovl,3,LeafyTurnUHi|LeafyTurnULow|LeafyTurnUMed,
Path\Leafy\LeafyTurnX.common.ovl,3,LeafyTurnXHi|LeafyTurnXLow|LeafyTurnXMed,
Path\Leafy\LeafyTurnX.unique.ovl,3,LeafyTurnXHi|LeafyTurnXLow|LeafyTurnXMed,
Path\Marble\MarbleCornerA.common.ovl,3,MarbleCornerAHI|MarbleCornerALOW|MarbleCornerAMED,
Path\Marble\MarbleCornerA.unique.ovl,3,MarbleCornerAHI|MarbleCornerALOW|MarbleCornerAMED,
Path\Marble\MarbleCornerB.common.ovl,3,MarbleCornerBHI|MarbleCornerBLOW|MarbleCornerBMED,
Path\Marble\MarbleCornerB.unique.ovl,3,MarbleCornerBHI|MarbleCornerBLOW|MarbleCornerBMED,
Path\Marble\MarbleCornerC.common.ovl,3,MarbleCornerCHI|MarbleCornerCLOW|MarbleCornerCMED,
Path\Marble\MarbleCornerC.unique.ovl,3,MarbleCornerCHI|MarbleCornerCLOW|MarbleCornerCMED,
Path\Marble\MarbleCornerD.common.ovl,3,MarbleCornerDHI|MarbleCornerDLOW|MarbleCornerDMED,
Path\Marble\MarbleCornerD.unique.ovl,3,MarbleCornerDHI|MarbleCornerDLOW|MarbleCornerDMED,
Path\Marble\MarbleFlat.common.ovl,3,MarbleFlatHI|MarbleFlatLOW|MarbleFlatMED,
Path\Marble\MarbleFlat.unique.ovl,3,MarbleFlatHI|MarbleFlatLOW|MarbleFlatMED,
Path\Marble\MarbleSlope.common.ovl,3,MarbleSlopeHI|MarbleSlopeLOW|MarbleSlopeMED,
Path\Marble\MarbleSlope.unique.ovl,3,MarbleSlopeHI|MarbleSlopeLOW|MarbleSlopeMED,
Path\Marble\MarbleSlopeMid.common.ovl,3,MarbleSlopeMid|MarbleSlopeMidLow|MarbleSlopeMidMed,
Path\Marble\MarbleSlopeMid.unique.ovl,3,MarbleSlopeMid|MarbleSlopeMidLow|MarbleSlopeMidMed,
Path\Marble\MarbleSlopeStraight.common.ovl,3,MarbleSlopeStraight|MarbleSlopeStraightLow|MarbleSlopeStraightMed,
Path\Marble\MarbleSlopeStraight.unique.ovl,3,MarbleSlopeStraight|MarbleSlopeStraightLow|MarbleSlopeStraightMed,
Path\Marble\MarbleSlopeStraightleft.common.ovl,3,MarbleSlopeStraightleft|MarbleSlopeStraightleftLow|MarbleSlopeStraightleftMed,
Path\Marble\MarbleSlopeStraightleft.unique.ovl,3,MarbleSlopeStraightleft|MarbleSlopeStraightleftLow|MarbleSlopeStraightleftMed,
Path\Marble\MarbleSlopeStraightRight.common.ovl,3,MarbleSlopeStraightRight|MarbleSlopeStraightRightLow|MarbleSlopeStraightRightMed,
Path\Marble\MarbleSlopeStraightRight.unique.ovl,3,MarbleSlopeStraightRight|MarbleSlopeStraightRightLow|MarbleSlopeStraightRightMed,
Path\Marble\MarbleStraightA.common.ovl,3,MarbleStraightAHI|MarbleStraightALOW|MarbleStraightAMED,
Path\Marble\MarbleStraightA.unique.ovl,3,MarbleStraightAHI|MarbleStraightALOW|MarbleStraightAMED,
