file,decoded,ftx_entries,crash
Characters\CF\CF06_Head_Main.common.ovl,0,0,
Characters\CF\CF06_Head_Stub.common.ovl,0,0,
Characters\CF\CF06_Skin.common.ovl,2,0,
Characters\CF\CF07.common.ovl,0,0,
Characters\CF\CF07_Head_Main.common.ovl,0,0,
Characters\CF\CF07_Head_Stub.common.ovl,0,0,
Characters\CF\CF07_Skin.common.ovl,2,0,
Characters\CF\CF08.common.ovl,0,0,
Characters\CF\CF08_Head_Main.common.ovl,0,0,
Characters\CF\CF08_Head_Stub.common.ovl,0,0,
Characters\CF\CF08_Skin.common.ovl,2,0,
Characters\CF\ChildFemale.common.ovl,0,0,
Characters\CM\ChildMale.common.ovl,0,0,
Characters\CM\CM01.common.ovl,0,0,
Characters\CM\CM01_Body_Main.common.ovl,2,0,
Characters\CM\CM01_Body_Stub.common.ovl,0,0,
Characters\CM\CM01_Head_Main.common.ovl,0,0,
Characters\CM\CM01_Head_Stub.common.ovl,0,0,
Characters\CM\CM01_Inflatable.common.ovl,2,0,
Characters\CM\CM01_Legs_Main.common.ovl,2,0,
Characters\CM\CM01_Legs_Stub.common.ovl,0,0,
Characters\CM\CM01_Skin.common.ovl,2,0,
Characters\CM\CM01_SwimSuit.common.ovl,2,0,
Characters\CM\CM01_SwimSuitBody_Main.common.ovl,0,0,
Characters\CM\CM01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\CM\CM01_SwimSuitLegs1_Main.common.ovl,0,0,
Characters\CM\CM01_SwimSuitLegs1_Stub.common.ovl,0,0,
Characters\CM\CM01_SwimSuitLegs2_Main.common.ovl,0,0,
Characters\CM\CM01_SwimSuitLegs2_Stub.common.ovl,0,0,
Characters\CM\CM03.common.ovl,0,0,
Characters\CM\CM03_Head_Main.common.ovl,0,0,
Characters\CM\CM03_Head_Stub.common.ovl,0,0,
Characters\CM\CM03_Skin.common.ovl,2,0,
Characters\CM\CM05.common.ovl,0,0,
Characters\CM\CM05_Body_Main.common.ovl,2,0,
Characters\CM\CM05_Body_Stub.common.ovl,0,0,
Characters\CM\CM05_Head_Main.common.ovl,0,0,
Characters\CM\CM05_Head_Stub.common.ovl,0,0,
Characters\CM\CM05_Legs_Main.common.ovl,2,0,
Characters\CM\CM05_Legs_Stub.common.ovl,0,0,
Characters\CM\CM05_Skin.common.ovl,2,0,
Characters\CM\CM06.common.ovl,0,0,
Characters\CM\CM06_Head_Main.common.ovl,0,0,
Characters\CM\CM06_Head_Stub.common.ovl,0,0,
Characters\CM\CM06_Skin.common.ovl,2,0,
Characters\CM\CM07.common.ovl,0,0,
Characters\CM\CM07_Head_Main.common.ovl,0,0,
Characters\CM\CM07_Head_Stub.common.ovl,0,0,
Characters\CM\CM07_Skin.common.ovl,2,0,
