file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\ReverseCoaster\ReverseCoaster.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Reverser\Reverser.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Reverser\Reverser.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\RoboCoaster\RoboCoaster.common.ovl,spl,2,"TRACKTRACK; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\RoboCoaster\RoboCoaster.unique.ovl,spl,2,"TRACKTRACK; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\RotatingTowerCoaster\RotatingTowerCoaster.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\RotatingTowerCoaster\RotatingTowerCoaster.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\ScreamingSquirrel\ScreamingSquirrel.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\ScreamingSquirrel\ScreamingSquirrel.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SeaSerpent\SeaSerpent.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SeaSerpent\SeaSerpent.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
