file,spl_count,tks_count,spl_samples,tks_samples
tracks\coasters\Track2\Track2.unique.ovl,110,55,"Medslopetiltleft2straighttiltleftR_spline; Steepslope2medslopeL_spline; StationmiddleL_spline","Medslopechain; Helixlargeupright; Tiltright2medslope"
tracks\coasters\Track20\Track20.common.ovl,166,83,"watersplashL_spline; medslopetiltleft2straighttiltleftR_spline; 45medslope2straightL_spline","steepslopetightcurveleft; medslopechain; straighttiltleft2medslopetightcurveleft"
tracks\coasters\Track20\Track20.unique.ovl,166,83,"watersplashL_spline; medslopetiltleft2straighttiltleftR_spline; 45medslope2straightL_spline","steepslopetightcurveleft; medslopechain; straighttiltleft2medslopetightcurveleft"
tracks\coasters\Track21\Track21.common.ovl,44,22,"Medcurvel_spline; Medcurver_spline; Medslope2steepslopechainl_spline","Medcurve; Medslope2steepslope; Medslope2steepslopechain"
tracks\coasters\Track21\Track21.unique.ovl,44,22,"Medcurvel_spline; Medcurver_spline; Medslope2steepslopechainl_spline","Medcurve; Medslope2steepslope; Medslope2steepslopechain"
tracks\coasters\Track22\Track22.common.ovl,178,89,"45medslope2steepslopeL_spline; 45medslope2steepslopeR_spline; 45medslope2straightchainL_spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track22\Track22.unique.ovl,178,89,"45medslope2steepslopeL_spline; 45medslope2steepslopeR_spline; 45medslope2straightchainL_spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track23\Track23.common.ovl,152,76,"45medslope2steepslopeL_spline; 45medslope2steepslopeR_spline; 45medslope2straightchainL_spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track23\Track23.unique.ovl,152,76,"45medslope2steepslopeL_spline; 45medslope2steepslopeR_spline; 45medslope2straightchainL_spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track24\Track24.common.ovl,169,84,"45medslope2steepslopel_spline; 45medslope2steepsloper_spline; 45medslope2straightchainl_spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track24\Track24.unique.ovl,169,84,"45medslope2steepslopel_spline; 45medslope2steepsloper_spline; 45medslope2straightchainl_spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track25\Track25.common.ovl,68,34,"HelixlargeupleftL_spline; HelixlargeupleftR_spline; HelixlargeuprightL_spline","Helixlargeupleft; Helixlargeupright; Helixsmallupleft"
tracks\coasters\Track25\Track25.unique.ovl,68,34,"HelixlargeupleftL_spline; HelixlargeupleftR_spline; HelixlargeuprightL_spline","Helixlargeupleft; Helixlargeupright; Helixsmallupleft"
tracks\coasters\Track26\Track26.common.ovl,10,5,"Straight2verticalmediuml_spline; Stationmiddlel_spline; Straightl_spline","Straight2verticalmedium; Straight; Straight2verticalsmall"
tracks\coasters\Track26\Track26.unique.ovl,10,5,"Straight2verticalmediuml_spline; Stationmiddlel_spline; Straightl_spline","Straight2verticalmedium; Straight; Straight2verticalsmall"
tracks\coasters\Track27\Track27.common.ovl,192,96,"InvMedslopeChainL_Spline; InvstraightbrakesL_Spline; InvtiltedloosecurverightR_Spline","Invstraight2medslopedown; 45invmedslope2straightchain; 45invstraight2medslopechain"
tracks\coasters\Track27\Track27.unique.ovl,192,96,"InvMedslopeChainL_Spline; InvstraightbrakesL_Spline; InvtiltedloosecurverightR_Spline","Invstraight2medslopedown; 45invmedslope2straightchain; 45invstraight2medslopechain"
tracks\coasters\Track28\Track28.common.ovl,40,20,"Steepslope2medslopeL_spline; StationmiddleL_spline; StraightL_spline","Medslope2straight; SteepslopezerogrollRight; Vertical2steepslope"
tracks\coasters\Track28\Track28.unique.ovl,40,20,"Steepslope2medslopeL_spline; StationmiddleL_spline; StraightL_spline","Medslope2straight; SteepslopezerogrollRight; Vertical2steepslope"
tracks\coasters\Track29\Track29.common.ovl,116,58,"45straighttiltleft2medslopeR_Spline; HelixlargeleftR_Spline; 45medslope2straightL_Spline","45medslope2straighttiltright; Medslopeloosecurveleft; 45SteepSlopeChain"
tracks\coasters\Track29\Track29.unique.ovl,116,58,"45straighttiltleft2medslopeR_Spline; HelixlargeleftR_Spline; 45medslope2straightL_Spline","45medslope2straighttiltright; Medslopeloosecurveleft; 45SteepSlopeChain"
tracks\coasters\Track3\Track3.common.ovl,454,223,"InvmedslopechainL_spline; InvstraightbrakesL_spline; ThrillLiftBottomL_spline","45invmedslope2straightchain; Invsteepslopemedcurveright; 45invstraight2medslopechain"
tracks\coasters\Track3\Track3.unique.ovl,454,223,"InvmedslopechainL_spline; InvstraightbrakesL_spline; ThrillLiftBottomL_spline","45invmedslope2straightchain; Invsteepslopemedcurveright; 45invstraight2medslopechain"
tracks\coasters\Track30\Track30.common.ovl,68,34,"45Medslope2StraightL_spline; 45SteepslopeR_spline; 45Straight2MedslopeL_spline","45Straight2Steepslope; MedslopeChain; 45Steepslope2Straight"
tracks\coasters\Track30\Track30.unique.ovl,68,34,"45Medslope2StraightL_spline; 45SteepslopeR_spline; 45Straight2MedslopeL_spline","45Straight2Steepslope; MedslopeChain; 45Steepslope2Straight"
tracks\coasters\Track31\Track31.common.ovl,70,32,"Helixlargedownleftl_spline; Tiltleftl_spline; Tiltright2straightR_spline","Helixlargeupright; Helixsmallupleft; Medslopedown"
tracks\coasters\Track31\Track31.unique.ovl,70,32,"Helixlargedownleftl_spline; Tiltleftl_spline; Tiltright2straightR_spline","Helixlargeupright; Helixsmallupleft; Medslopedown"
tracks\coasters\Track32\Track32.common.ovl,198,99,"InvStraightBrakesL_spline; InvtiltedloosecurverightR_spline; InvSteepSlopeMedCurveRightR_spline","InvSteepSlopeMedCurveRight; 45InvMedslope2Steepslope; 45InvStraight"
tracks\coasters\Track32\Track32.unique.ovl,198,99,"InvStraightBrakesL_spline; InvtiltedloosecurverightR_spline; InvSteepSlopeMedCurveRightR_spline","InvSteepSlopeMedCurveRight; 45InvMedslope2Steepslope; 45InvStraight"
tracks\coasters\Track33\Track33_CT.common.ovl,116,58,"InvStraightBrakesL_spline; VerticalChainSmallLeftL_spline; invhalfloopsmallR_spline","invstraight2medslopeDown; vertical2straightdown; invhalfloopmedium"
tracks\coasters\Track33\Track33_CT.unique.ovl,116,58,"InvStraightBrakesL_spline; VerticalChainSmallLeftL_spline; invhalfloopsmallR_spline","invstraight2medslopeDown; vertical2straightdown; invhalfloopmedium"
tracks\coasters\Track34\Track34.common.ovl,788,394,"StraightblockbrakesjoinedL_Spline; Medslope2medslopetiltright_rL_Spline; Stationmiddlejoined_rR_Spline","Sbendright_l; Straight2medslopetiltleftjoined; Medslopeloosecurverightjoined_r"
